2;0,0,;1:BTC-DOPE_64:BTC-DMD_2:2:0.7931662822749637:1,; Created (Genarations Ago):0; Made (USD):0.0; Global Error :0.0
2;0,0,;1:ETH-VEE_46:BTC-MEME_5:2:-0.5283031625276933:1,; Created (Genarations Ago):0; Made (USD):0.0; Global Error :0.0
2;0,0,;1:BTC-GNO_13:ETH-QTUM_3:2:-0.23919961243800292:1,; Created (Genarations Ago):0; Made (USD):0.0; Global Error :0.0
2;0,0,;1:BTC-BLITZ_17:BTC-PAY_3:2:-0.07966183974033036:1,; Created (Genarations Ago):0; Made (USD):0.0; Global Error :0.0
2;0,0,;1:BTC-BURST_86:BTC-OMNI_5:2:-0.1101179731411075:1,; Created (Genarations Ago):0; Made (USD):0.0; Global Error :0.0
2;0,0,;1:BTC-AGRS_49:ETH-QTUM_3:2:0.9727461089728842:1,; Created (Genarations Ago):0; Made (USD):0.0; Global Error :0.0
2;0,0,;1:ETH-ZRX_22:ETH-LGD_4:2:0.07406410121501827:1,; Created (Genarations Ago):0; Made (USD):0.0; Global Error :0.0
2;0,0,;1:BTC-LGD_13:BTC-GNT_2:2:-0.7732533518054159:1,; Created (Genarations Ago):0; Made (USD):0.0; Global Error :0.0
2;0,0,;1:ETH-DNT_28:BTC-FTC_4:2:0.9736623869347212:1,; Created (Genarations Ago):0; Made (USD):0.0; Global Error :0.0
2;0,0,;1:BTC-POWR_45:ETH-TRX_1:2:-0.1108229997436625:1,; Created (Genarations Ago):0; Made (USD):0.0; Global Error :0.0
2;0,0,;1:BTC-PART_83:BTC-SYS_1:2:-0.12074491731072001:1,; Created (Genarations Ago):0; Made (USD):0.0; Global Error :0.0
2;0,0,;1:BTC-CFI_87:BTC-DOPE_3:2:-0.2348408428626052:1,; Created (Genarations Ago):0; Made (USD):0.0; Global Error :0.0
2;0,0,;1:ETH-NMR_22:ETH-TRX_4:2:-0.47269747222081926:1,; Created (Genarations Ago):0; Made (USD):0.0; Global Error :0.0
2;0,0,;1:ETH-BAT_28:BTC-DTB_4:2:-0.8690240745204627:1,; Created (Genarations Ago):0; Made (USD):0.0; Global Error :0.0
2;0,0,;1:BTC-BCPT_7:USDT-XMR_5:2:-0.8447202760042225:1,; Created (Genarations Ago):0; Made (USD):0.0; Global Error :0.0
2;0,0,;1:BTC-GNT_43:BTC-AUR_3:2:0.8455064949501294:1,; Created (Genarations Ago):0; Made (USD):0.0; Global Error :0.0
2;0,0,;1:BTC-GUP_83:BTC-INCNT_4:2:0.7544611788269384:1,; Created (Genarations Ago):0; Made (USD):0.0; Global Error :0.0
2;0,0,;1:ETH-REP_22:ETH-STRAT_5:2:-0.856955065775278:1,; Created (Genarations Ago):0; Made (USD):0.0; Global Error :0.0
